n,Avg_Time(s),FLOPs
441,0.378026,4.54786e+08
442,0.379871,4.55662e+08
443,0.380576,4.57908e+08
444,0.383062,4.58022e+08
445,0.385942,4.57681e+08
446,0.388745,4.57449e+08
447,0.390776,4.58137e+08
448,0.400913,4.49554e+08
449,0.389317,4.6605e+08
450,0.392237,4.65676e+08
451,0.395322,4.65126e+08
452,0.401,4.61595e+08
453,0.400518,4.65221e+08
454,0.403339,4.65032e+08
455,0.412292,4.57945e+08
456,0.408651,4.65076e+08
457,0.411599,4.64786e+08
458,0.416419,4.62427e+08
459,0.41623,4.65671e+08
460,0.424229,4.59882e+08
461,0.423939,4.63202e+08
462,0.430766,4.58832e+08
463,0.426945,4.65949e+08
464,0.429809,4.65847e+08
465,0.432651,4.65784e+08
466,0.434889,4.66381e+08
467,0.438922,4.65074e+08
468,0.441993,4.64814e+08
469,0.446505,4.6307e+08
470,0.446876,4.6565e+08
471,0.449536,4.65854e+08
472,0.452294,4.65966e+08
473,0.458353,4.62733e+08
474,0.462026,4.6197e+08
475,0.461011,4.65922e+08
476,0.463605,4.66245e+08
477,0.467234,4.65543e+08
478,0.469544,4.66171e+08
479,0.471829,4.66828e+08
480,0.475806,4.6583e+08
481,0.478299,4.66303e+08
482,0.484662,4.63055e+08
483,0.486525,4.64156e+08
484,0.488419,4.65232e+08
485,0.491491,4.65194e+08
486,0.49592,4.63896e+08
487,0.497833,4.64969e+08
488,0.501577,4.64345e+08
489,0.510688,4.58869e+08
490,0.507086,4.64967e+08
491,0.512367,4.62996e+08
492,0.512104,4.66068e+08
493,0.515869,4.65491e+08
494,0.518447,4.65999e+08
495,0.52189,4.65739e+08
496,0.53132,4.6025e+08
497,0.532178,4.6229e+08
498,0.539886,4.58445e+08
499,0.542738,4.58787e+08
500,0.544478,4.60074e+08
501,0.546944,4.60751e+08
502,0.549212,4.616e+08
503,0.55511,4.59428e+08
504,0.558419,4.59433e+08
505,0.557952,4.62558e+08
506,0.566979,4.57901e+08
507,0.571023,4.57358e+08
508,0.569485,4.6131e+08
509,0.574112,4.60298e+08
510,0.580032,4.58289e+08
511,0.584135,4.57751e+08
512,0.58283,4.61472e+08
