n,Avg_Time(s),FLOPs
275,2.93033e-06,1.87692e+08
276,2.93067e-06,1.88353e+08
277,2.95833e-06,1.87268e+08
278,2.95833e-06,1.87944e+08
279,2.97233e-06,1.87731e+08
280,2.986e-06,1.87542e+08
281,2.98633e-06,1.88191e+08
282,2.97267e-06,1.89729e+08
283,3e-06,1.88667e+08
284,3.02767e-06,1.87603e+08
285,3.02767e-06,1.88264e+08
286,3.04167e-06,1.88055e+08
287,3.05567e-06,1.87848e+08
288,3.06967e-06,1.87643e+08
289,3.06933e-06,1.88315e+08
290,3.08333e-06,1.88108e+08
291,3.097e-06,1.87924e+08
292,3.09733e-06,1.88549e+08
293,3.111e-06,1.88364e+08
294,3.125e-06,1.8816e+08
295,3.139e-06,1.87958e+08
296,3.125e-06,1.8944e+08
297,3.153e-06,1.88392e+08
298,3.16667e-06,1.88211e+08
299,3.16667e-06,1.88842e+08
300,3.167e-06,1.89454e+08
301,3.20833e-06,1.87636e+08
302,3.19433e-06,1.89085e+08
303,3.22233e-06,1.88062e+08
304,3.22233e-06,1.88683e+08
305,3.22233e-06,1.89304e+08
306,3.236e-06,1.89122e+08
307,3.26367e-06,1.88132e+08
308,3.236e-06,1.90358e+08
309,3.26367e-06,1.89358e+08
310,3.29167e-06,1.88354e+08
311,3.30533e-06,1.88181e+08
312,3.30533e-06,1.88786e+08
313,3.34733e-06,1.87015e+08
314,3.33333e-06,1.884e+08
315,3.33333e-06,1.89e+08
316,3.34733e-06,1.88807e+08
317,3.34733e-06,1.89405e+08
318,3.40267e-06,1.86912e+08
319,3.375e-06,1.89037e+08
320,3.375e-06,1.8963e+08
321,3.65267e-06,1.75762e+08
322,3.403e-06,1.89245e+08
323,3.417e-06,1.89055e+08
324,3.41667e-06,1.89659e+08
325,3.44467e-06,1.88698e+08
326,3.45833e-06,1.8853e+08
327,3.45833e-06,1.89108e+08
328,3.5e-06,1.87429e+08
329,3.47233e-06,1.89498e+08
330,3.48633e-06,1.89311e+08
331,3.486e-06,1.89902e+08
332,3.514e-06,1.88958e+08
333,3.528e-06,1.88776e+08
334,3.52767e-06,1.8936e+08
335,3.52767e-06,1.89927e+08
336,3.55533e-06,1.89012e+08
337,3.56967e-06,1.88813e+08
338,3.56933e-06,1.89391e+08
339,3.597e-06,1.8849e+08
340,3.597e-06,1.89046e+08
341,3.597e-06,1.89602e+08
342,3.65267e-06,1.8726e+08
343,3.639e-06,1.88513e+08
344,3.639e-06,1.89063e+08
345,3.66667e-06,1.88182e+08
346,3.65267e-06,1.89451e+08
347,3.66667e-06,1.89273e+08
348,3.69467e-06,1.8838e+08
349,3.72267e-06,1.875e+08
350,3.69467e-06,1.89462e+08
351,3.70867e-06,1.89286e+08
352,3.70833e-06,1.89843e+08
353,3.736e-06,1.88972e+08
354,3.75e-06,1.888e+08
355,3.75e-06,1.89333e+08
356,3.76367e-06,1.89177e+08
357,3.77767e-06,1.89006e+08
358,3.79167e-06,1.88835e+08
359,3.79167e-06,1.89363e+08
360,3.80567e-06,1.89192e+08
361,3.81933e-06,1.89038e+08
362,3.847e-06,1.88199e+08
363,3.84733e-06,1.88702e+08
364,3.875e-06,1.87871e+08
365,3.13867e-06,2.32583e+08
366,3.15233e-06,2.32209e+08
367,3.167e-06,2.31765e+08
368,3.24967e-06,2.26485e+08
369,3.18067e-06,2.32027e+08
370,3.23567e-06,2.28701e+08
371,3.18067e-06,2.33284e+08
372,3.18067e-06,2.33913e+08
373,3.22233e-06,2.31509e+08
374,3.222e-06,2.32154e+08
375,3.25e-06,2.30769e+08
376,3.20833e-06,2.3439e+08
377,3.22233e-06,2.33992e+08
378,3.25e-06,2.32615e+08
379,3.25e-06,2.33231e+08
380,3.25e-06,2.33846e+08
381,3.26367e-06,2.3348e+08
382,3.30533e-06,2.31142e+08
383,3.278e-06,2.33679e+08
384,3.47267e-06,2.21156e+08
385,3.45833e-06,2.22651e+08
386,3.45867e-06,2.23207e+08
387,3.45867e-06,2.23786e+08
388,3.51367e-06,2.20852e+08
389,3.5e-06,2.22286e+08
390,3.54167e-06,2.20235e+08
391,3.542e-06,2.20779e+08
392,3.54167e-06,2.21365e+08
393,3.569e-06,2.2023e+08
394,3.514e-06,2.24246e+08
395,3.58367e-06,2.20445e+08
396,3.417e-06,2.31782e+08
397,3.389e-06,2.34287e+08
398,3.52767e-06,2.25645e+08
399,3.41667e-06,2.33561e+08
400,3.45833e-06,2.31325e+08
401,3.43067e-06,2.33774e+08
402,3.48633e-06,2.30615e+08
403,3.44433e-06,2.34008e+08
404,3.47233e-06,2.32697e+08
405,3.5e-06,2.31429e+08
406,3.514e-06,2.31076e+08
407,3.486e-06,2.33505e+08
408,3.47233e-06,2.35e+08
409,3.52767e-06,2.31881e+08
410,3.528e-06,2.32426e+08
411,3.514e-06,2.33921e+08
412,3.51367e-06,2.34513e+08
413,3.66667e-06,2.25273e+08
414,3.54167e-06,2.33788e+08
415,3.528e-06,2.35261e+08
416,3.56967e-06,2.33075e+08
417,3.56933e-06,2.33657e+08
418,3.58333e-06,2.33302e+08
419,3.59733e-06,2.3295e+08
420,3.597e-06,2.33528e+08
421,3.625e-06,2.32276e+08
422,3.611e-06,2.3373e+08
423,3.625e-06,2.33379e+08
424,3.61133e-06,2.34816e+08
425,3.639e-06,2.33581e+08
426,3.667e-06,2.32343e+08
427,3.68067e-06,2.32023e+08
428,3.68067e-06,2.32567e+08
429,3.70833e-06,2.31371e+08
430,3.68033e-06,2.33674e+08
